Broker ID,Name,Location,Specialization,Active Status,Rating (out of 5),Avg Response Time (hrs),Contact Method,Languages Spoken
B001,Shinde Realty Group,Wakad,Residential Apartments,Active,4.5,2,Call/Chat,"Marathi, English"
B002,Baner Housing Experts,Baner,"Shared Housing, Rentals",Active,4.2,1.5,Call,"Hindi, English"
B003,Elite Realtors,Kharadi,Premium Family Housing,Inactive,4.7,4,Email,English
B004,Sai Property Hub,Kothrud,Budget Apartments,Active,3.9,2.5,Chat,"Marathi, Hindi"
B005,City Nest Realty,Hinjewadi,IT Employee Rentals,Active,4.6,1.2,Call/Chat,"English, Hindi"
B006,QuickStay Associates,Baner,Short-term Rentals,Active,4.3,1,Chat,"Hindi, English"
B007,Elite Housing Pune,Kharadi,Luxury Apartments,Active,4.8,3,Call/Email,"English, Hindi"
B008,DreamHome Brokers,Wakad,"Shared Rooms, Hostels",Inactive,3.8,5,Email,"Marathi, English"
B009,GoFlat Realty,Kothrud,Furnished Rentals,Active,4.1,1.7,Call/Chat,"Marathi, English, Hindi"
B010,Techie Nest Homes,Hinjewadi,IT Park Surroundings,Active,4.9,0.8,Chat,English
B011,Prestige Property Co.,Baner,High-End Rentals,Active,4.6,1.1,Call,"English, Hindi"
B012,Sahyadri Realty,Kharadi,Family & Pet-Friendly Homes,Active,4.2,2.3,Chat,"Marathi, Hindi"
B013,Urban Square Brokers,Wakad,Co-Living & PGs,Active,3.7,3.5,Call/Email,"Hindi, English"
B014,Smart Stay Services,Kothrud,Service Apartments,Active,4,2,Call/Chat,English
B015,MetroEdge Realty,Hinjewadi,Full-Floor Corporate Leases,Active,4.4,1.9,Call,"Hindi, English"
